Subject ID,Examiner ID,Language,Datetime,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
P3468,poorani,Tamil,2021_04_20_13_07_18,1,0,1,2,2,0,1,2
P1114,mohana,Tamil,2021_03_30_09_49_58,2,2,2,2,2,2,2,2
P2132,Abirami,Tamil,2021_03_26_09_31_44,2,2,2,2,2,2,2,2
P3475,poorani,Tamil,2021_04_21_11_46_01,2,1,0,1,-1,1,2,1
P2111,Clarice Lee,Tamil,2021_03_23_08_47_39,2,2,2,2,2,2,2,2
P2100,poorani,Tamil,2021_03_23_08_48_00,2,1,2,1,2,2,2,1
299,asceline,Tamil,2021_03_29_11_57_10,2,0,0,2,-2,0,-2,0
K204,XinTong,Tamil,2021_03_31_14_02_36,2,2,2,2,2,2,2,2
300,asceline,Tamil,2021_03_29_12_08_01,0,1,2,0,-1,1,0,2
220,freda,Tamil,2021_03_31_12_22_54,-1,1,1,-1,0,2,0,-1
P314,Teh Jolene,Tamil,2021_03_30_11_24_41,1,1,1,1,1,1,1,1
P2447,shuen ling,Tamil,2021_04_21_10_23_57,2,2,2,2,2,2,2,2
P1103,poorani,Tamil,2021_03_26_10_46_46,1,1,1,2,0,1,0,1
P3463,kirthigah,Tamil,2021_04_20_13_07_17,1,2,0,2,0,2,0,0
P1134,poorani,Tamil,2021_03_26_10_45_34,2,1,1,1,1,1,2,2
P3472,kirthanaa,Tamil,2021_04_21_11_34_08,0,-2,0,-2,-2,-1,-2,0
P3474,kirthigah,Tamil,2021_04_21_11_39_17,2,1,2,2,2,2,2,2
P2451,kirthanaa,Tamil,2021_04_21_10_06_52,2,2,1,1,1,1,1,1
P3471,kirthanaa,Tamil,2021_04_21_11_38_06,2,2,2,2,2,2,2,2
K194,beverley,Tamil,2021_03_26_14_20_39,1,1,1,1,-1,1,1,2
K203,beverley,Tamil,2021_03_31_13_53_55,2,2,2,2,2,2,2,2
P1101,poorani,Tamil,2021_03_26_10_55_39,1,2,1,1,0,1,1,1
N211,beverley,Tamil,2021_03_26_12_34_34,-2,2,-2,2,2,2,2,2
P3473,kirthigah,Tamil,2021_04_21_11_38_47,1,0,1,2,1,1,1,2
P3459,poorani,Tamil,2021_04_12_11_31_11,0,2,0,2,-2,0,1,2
P1119,poorani,Tamil,2021_03_26_10_54_45,2,1,1,2,-1,1,0,-2
N232,beverley,Tamil,2021_04_07_10_41_02,2,2,0,2,2,2,2,2
P3467,poorani,Tamil,2021_04_20_13_07_17,2,2,0,2,2,0,2,0
P1102,poorani,Tamil,2021_03_29_10_34_08,2,2,2,1,1,1,2,2
P3461,kirthanaa,Tamil,2021_04_20_13_16_14,1,2,2,2,-1,1,1,1
P2454,kirthanaa,Tamil,2021_04_22_10_06_43,2,1,1,0,-1,1,2,2
P277,Rosalynn,Tamil,2021_04_07_10_57_47,2,2,2,1,1,1,1,2
P1108,Tiara,Tamil,2021_03_26_10_50_26,1,1,1,1,0,1,1,2
P1113,poorani,Tamil,2021_03_26_10_54_26,1,2,1,2,1,2,2,1
N213,beverley,Tamil,2021_03_29_10_31_34,2,2,2,2,2,2,2,2
P3118,kirthigah,Tamil,2021_03_29_08_33_27,1,2,0,2,1,1,2,2
P2456,kirthigah,Tamil,2021_04_22_10_10_03,2,2,1,2,2,1,2,1
K205,beverley,Tamil,2021_03_26_10_37_56,1,2,1,1,1,2,0,2
P3468,poorani,Tamil,2021_04_20_13_07_18,1,0,1,2,2,0,1,2
P1114,mohana,Tamil,2021_03_30_09_49_58,2,2,2,2,2,2,2,2
P3475,poorani,Tamil,2021_04_21_11_46_01,2,1,0,1,-1,1,2,1
P2100,poorani,Tamil,2021_03_23_08_48_00,2,1,2,1,2,2,2,1
